------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/324           22978 ns        22978 ns        29608
InversionCount/325           23687 ns        23687 ns        29326
InversionCount/326           23513 ns        23513 ns        30622
InversionCount/327           23235 ns        23235 ns        30741
InversionCount/328           23171 ns        23171 ns        29655
InversionCount/329           23332 ns        23332 ns        28980
InversionCount/330           23594 ns        23594 ns        29431
InversionCount/331           23764 ns        23764 ns        29141
InversionCount/332           23546 ns        23546 ns        28600
InversionCount/333           24495 ns        24495 ns        29183
InversionCount/334           23876 ns        23876 ns        28493
InversionCount/335           24265 ns        24265 ns        29432
InversionCount/336           24517 ns        24517 ns        29342
InversionCount/337           24196 ns        24196 ns        29213
InversionCount/338           24099 ns        24099 ns        28793
InversionCount/339           24675 ns        24675 ns        28318
InversionCount/340           25081 ns        25081 ns        27122
InversionCount/341           24789 ns        24789 ns        27279
InversionCount/342           24748 ns        24748 ns        28413
InversionCount/343           24961 ns        24961 ns        26227
InversionCount/344           24749 ns        24749 ns        27680
InversionCount/345           24343 ns        24343 ns        27729
InversionCount/346           26131 ns        26131 ns        27638
InversionCount/347           25555 ns        25555 ns        29217
InversionCount/348           25360 ns        25360 ns        27847
InversionCount/349           25359 ns        25359 ns        26958
InversionCount/350           25052 ns        25052 ns        28032
InversionCount/351           26180 ns        26180 ns        27481
InversionCount/352           25954 ns        25954 ns        27181
InversionCount/353           26499 ns        26499 ns        26707
InversionCount/354           25848 ns        25848 ns        26123
InversionCount/355           26202 ns        26202 ns        27699
InversionCount/356           25478 ns        25478 ns        26136
InversionCount/357           27047 ns        27047 ns        25947
InversionCount/358           26157 ns        26158 ns        25789
InversionCount/359           26610 ns        26610 ns        26912
InversionCount/360           20167 ns        20167 ns        25475
InversionCount/361           26543 ns        26543 ns        25383
InversionCount/362           27120 ns        27120 ns        26383
InversionCount/363           27030 ns        27030 ns        26639
InversionCount/364           26924 ns        26924 ns        25486
InversionCount/365           26813 ns        26813 ns        25151
InversionCount/366           28333 ns        28333 ns        25304
InversionCount/367           28442 ns        28442 ns        25069
InversionCount/368           28436 ns        28436 ns        25760
InversionCount/369           27114 ns        27114 ns        25390
InversionCount/370           27721 ns        27721 ns        24557
InversionCount/371           27363 ns        27363 ns        25376
InversionCount/372           27593 ns        27593 ns        27873
