------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/358           10968 ns        10968 ns        71122
InversionCount/359           10844 ns        10844 ns        54079
InversionCount/360           10917 ns        10917 ns        75228
InversionCount/361           10846 ns        10846 ns        59458
InversionCount/362           11776 ns        11776 ns        58182
InversionCount/363            7975 ns         7975 ns        66763
InversionCount/364           11837 ns        11837 ns       117307
InversionCount/365           10646 ns        10646 ns        59158
InversionCount/366           12119 ns        12119 ns        58709
InversionCount/367           10568 ns        10568 ns        69046
InversionCount/368           11449 ns        11449 ns        62981
InversionCount/369           11882 ns        11882 ns        70261
InversionCount/370           11381 ns        11381 ns       115800
InversionCount/371           11805 ns        11805 ns        65671
InversionCount/372           11171 ns        11171 ns        62665
InversionCount/373           12017 ns        12017 ns        60836
InversionCount/374           11474 ns        11475 ns        70521
InversionCount/375           11803 ns        11803 ns        58749
InversionCount/376           12134 ns        12134 ns        65629
InversionCount/377           12428 ns        12428 ns        59541
InversionCount/378           12032 ns        12032 ns        62984
InversionCount/379           11990 ns        11990 ns        54299
InversionCount/380           12153 ns        12153 ns        59085
InversionCount/381           12701 ns        12701 ns        54599
InversionCount/382           11960 ns        11961 ns       112265
InversionCount/383           11906 ns        11907 ns        57614
InversionCount/384           11929 ns        11929 ns        54198
InversionCount/385           11709 ns        11709 ns        57622
InversionCount/386           11813 ns        11813 ns        54352
InversionCount/387           11328 ns        11329 ns        63649
InversionCount/388           12540 ns        12540 ns        49963
InversionCount/389           12027 ns        12027 ns        54065
InversionCount/390           12018 ns        12018 ns        62693
InversionCount/391           12335 ns        12335 ns        54892
InversionCount/392           13081 ns        13081 ns        65288
InversionCount/393           12746 ns        12746 ns        62490
InversionCount/394           12751 ns        12751 ns        58903
InversionCount/395           12451 ns        12451 ns        59644
InversionCount/396           12825 ns        12825 ns        60019
InversionCount/397           12273 ns        12273 ns        57249
InversionCount/398           12098 ns        12098 ns        49049
InversionCount/399           12662 ns        12662 ns        55158
InversionCount/400           11869 ns        11869 ns        72589
InversionCount/401           12853 ns        12853 ns        56966
InversionCount/402           12979 ns        12979 ns        56689
InversionCount/403           12463 ns        12463 ns        51629
InversionCount/404           12719 ns        12719 ns        56214
InversionCount/405           12608 ns        12608 ns        61412
InversionCount/406           12538 ns        12538 ns        54109
InversionCount/407           12035 ns        12036 ns        66212
InversionCount/408           10048 ns        10048 ns        56963
InversionCount/409           13469 ns        13469 ns        55948
InversionCount/410           13292 ns        13292 ns        62736
InversionCount/411           13809 ns        13809 ns        51916
InversionCount/412           13094 ns        13094 ns        56455
InversionCount/413           12999 ns        12999 ns        62480
InversionCount/414           13755 ns        13755 ns        55553
InversionCount/415           13907 ns        13907 ns        52908
InversionCount/416           12771 ns        12771 ns        57349
InversionCount/417           13068 ns        13068 ns        51143
InversionCount/418           12205 ns        12205 ns        53539
InversionCount/419           12801 ns        12801 ns        55284
InversionCount/420           13430 ns        13430 ns        60392
InversionCount/421           13851 ns        13851 ns        52433
InversionCount/422           14019 ns        14019 ns        54834
InversionCount/423           13924 ns        13924 ns        54721
InversionCount/424           14305 ns        14305 ns        53083
InversionCount/425           14116 ns        14116 ns        49749
InversionCount/426           14208 ns        14208 ns        48819
InversionCount/427           13777 ns        13777 ns        96388
InversionCount/428           13709 ns        13709 ns        52510
InversionCount/429           13677 ns        13677 ns        49117
InversionCount/430           13402 ns        13402 ns        53995
InversionCount/431           14156 ns        14156 ns        52347
InversionCount/432           13064 ns        13064 ns        49022
InversionCount/433           15046 ns        15046 ns        54888
InversionCount/434           15239 ns        15239 ns        51706
InversionCount/435           15245 ns        15245 ns        48190
InversionCount/436           14530 ns        14530 ns        49401
InversionCount/437           14023 ns        14023 ns        50829
InversionCount/438           14681 ns        14681 ns        52570
InversionCount/439           14223 ns        14223 ns        52034
InversionCount/440           13898 ns        13898 ns        45433
InversionCount/441           13974 ns        13974 ns        52566
InversionCount/442           15709 ns        15709 ns        52301
InversionCount/443           14532 ns        14532 ns        49286
InversionCount/444           13710 ns        13710 ns        45849
InversionCount/445           15759 ns        15759 ns        45549
InversionCount/446           14988 ns        14988 ns        47143
InversionCount/447           14927 ns        14927 ns        43124
InversionCount/448           15648 ns        15648 ns        56330
InversionCount/449           15433 ns        15433 ns        46567
InversionCount/450           15313 ns        15313 ns        49146
InversionCount/451           15432 ns        15432 ns        45869
InversionCount/452           14432 ns        14432 ns        49353
InversionCount/453           15179 ns        15180 ns        48148
InversionCount/454           14993 ns        14993 ns        49517
InversionCount/455           15542 ns        15542 ns        44362
InversionCount/456           15046 ns        15046 ns        42823
InversionCount/457           15270 ns        15270 ns        52352
InversionCount/458           15884 ns        15884 ns        46767
InversionCount/459           15674 ns        15674 ns        44021
InversionCount/460           15860 ns        15860 ns        83782
