------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/220           15081 ns        15081 ns        48559
InversionCount/221           14600 ns        14599 ns        55442
InversionCount/222           14985 ns        14984 ns        52103
InversionCount/223           15004 ns        15003 ns        48852
InversionCount/224           15042 ns        15041 ns        46689
InversionCount/225           15243 ns        15242 ns        48475
InversionCount/226           14772 ns        14772 ns        48481
InversionCount/227           14886 ns        14885 ns        43652
InversionCount/228           15034 ns        15033 ns        45618
InversionCount/229           16107 ns        16106 ns        43008
InversionCount/230           15374 ns        15373 ns        46814
InversionCount/231           15637 ns        15636 ns        45701
InversionCount/232           15835 ns        15835 ns        42472
InversionCount/233           15699 ns        15698 ns        43764
InversionCount/234           14825 ns        14824 ns        44583
InversionCount/235           16095 ns        16094 ns        46665
InversionCount/236           16437 ns        16436 ns        45128
InversionCount/237           15847 ns        15846 ns        48720
InversionCount/238           16021 ns        16021 ns        42728
InversionCount/239           16720 ns        16719 ns        44835
InversionCount/240           16901 ns        16900 ns        45604
InversionCount/241           15522 ns        15522 ns        43876
InversionCount/242           16507 ns        16506 ns        43643
InversionCount/243           16531 ns        16529 ns        44085
InversionCount/244           16388 ns        16387 ns        42973
InversionCount/245           16814 ns        16813 ns        41142
InversionCount/246           16967 ns        16966 ns        56381
InversionCount/247           16885 ns        16884 ns        41750
InversionCount/248           16796 ns        16795 ns        41534
InversionCount/249           17641 ns        17640 ns        42009
InversionCount/250           17034 ns        17033 ns        43087
InversionCount/251           16776 ns        16775 ns        53728
InversionCount/252           17594 ns        17593 ns        41590
InversionCount/253           16805 ns        16804 ns        43339
InversionCount/254           17752 ns        17751 ns        42009
InversionCount/255           17818 ns        17816 ns        39743
InversionCount/256           18034 ns        18033 ns        39628
InversionCount/257           17798 ns        17797 ns        39927
InversionCount/258           18115 ns        18114 ns        42280
InversionCount/259           18139 ns        18138 ns        38660
InversionCount/260           17864 ns        17863 ns        42300
InversionCount/261           17723 ns        17722 ns        40445
InversionCount/262           18018 ns        18017 ns        36754
InversionCount/263           18167 ns        18166 ns        35889
InversionCount/264           18375 ns        18374 ns        40256
InversionCount/265           18220 ns        18219 ns        39057
InversionCount/266           18685 ns        18683 ns        38254
InversionCount/267           18890 ns        18888 ns        36913
InversionCount/268           19370 ns        19369 ns        37827
InversionCount/269           18986 ns        18985 ns        38878
InversionCount/270           18887 ns        18886 ns        48770
InversionCount/271           19400 ns        19399 ns        37160
InversionCount/272           19171 ns        19170 ns        36468
InversionCount/273           19278 ns        19277 ns        34358
InversionCount/274           18883 ns        18882 ns        36059
InversionCount/275           18930 ns        18929 ns        34849
InversionCount/276           19064 ns        19063 ns        35937
InversionCount/277           19536 ns        19535 ns        38210
InversionCount/278           19841 ns        19840 ns        34520
InversionCount/279           18473 ns        18472 ns        36883
InversionCount/280           15723 ns        15722 ns        34959
InversionCount/281           19174 ns        19173 ns        36405
InversionCount/282           20205 ns        20204 ns        37233
InversionCount/283           15563 ns        15563 ns        35158
InversionCount/284           19500 ns        19499 ns        44881
InversionCount/285           20000 ns        19998 ns        34569
InversionCount/286           20786 ns        20785 ns        33217
InversionCount/287           19981 ns        19979 ns        34872
InversionCount/288           20379 ns        20377 ns        36266
InversionCount/289           20674 ns        20673 ns        33509
InversionCount/290           20478 ns        20477 ns        35254
InversionCount/291           20771 ns        20770 ns        33363
InversionCount/292           20044 ns        20043 ns        33898
InversionCount/293           21189 ns        21188 ns        35014
InversionCount/294           20512 ns        20511 ns        33213
InversionCount/295           21107 ns        21105 ns        33219
InversionCount/296           21510 ns        21509 ns        32118
InversionCount/297           21104 ns        21103 ns        33080
InversionCount/298           22146 ns        22145 ns        33066
InversionCount/299           21527 ns        21525 ns        34576
InversionCount/300           20347 ns        20346 ns        32709
InversionCount/301           21464 ns        21463 ns        33735
InversionCount/302           21859 ns        21858 ns        30276
InversionCount/303           21961 ns        21960 ns        31873
InversionCount/304           21593 ns        21591 ns        34357
InversionCount/305           21212 ns        21211 ns        33467
InversionCount/306           22647 ns        22646 ns        31916
InversionCount/307           22443 ns        22441 ns        30467
InversionCount/308           21280 ns        21279 ns        31443
InversionCount/309           22492 ns        22491 ns        31699
InversionCount/310           23251 ns        23250 ns        31237
InversionCount/311           22344 ns        22343 ns        30448
InversionCount/312           22422 ns        22421 ns        31271
