------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/199            1803 ns         1803 ns       403368
InversionCount/200            1689 ns         1689 ns       430785
InversionCount/201            1666 ns         1666 ns       440787
InversionCount/202            1831 ns         1831 ns       406776
InversionCount/203            1773 ns         1773 ns       388978
InversionCount/204            1816 ns         1816 ns       397267
InversionCount/205            1879 ns         1879 ns       369234
InversionCount/206            1787 ns         1787 ns       419811
InversionCount/207            1902 ns         1902 ns       387526
InversionCount/208            1757 ns         1757 ns       401018
InversionCount/209            1700 ns         1700 ns       429572
InversionCount/210            1910 ns         1910 ns       366979
InversionCount/211            1984 ns         1984 ns       345247
InversionCount/212            1992 ns         1992 ns       339044
InversionCount/213            2002 ns         2002 ns       370860
InversionCount/214            1701 ns         1701 ns       386500
InversionCount/215            1903 ns         1903 ns       349686
InversionCount/216            2004 ns         2004 ns       363001
InversionCount/217            1483 ns         1483 ns       468955
InversionCount/218            1963 ns         1963 ns       352529
InversionCount/219            1947 ns         1947 ns       360607
InversionCount/220            1968 ns         1968 ns       324267
InversionCount/221            2079 ns         2079 ns       343556
InversionCount/222            1980 ns         1980 ns       343817
InversionCount/223            2067 ns         2067 ns       308483
InversionCount/224            2044 ns         2044 ns       327771
InversionCount/225            2171 ns         2171 ns       361525
InversionCount/226            2034 ns         2034 ns       335912
InversionCount/227            2054 ns         2054 ns       341826
InversionCount/228            2148 ns         2148 ns       331531
InversionCount/229            2027 ns         2027 ns       351890
InversionCount/230            2150 ns         2150 ns       356204
InversionCount/231            2056 ns         2056 ns       352865
InversionCount/232            2296 ns         2296 ns       315282
InversionCount/233            1934 ns         1934 ns       356629
InversionCount/234            2184 ns         2184 ns       311595
InversionCount/235            1832 ns         1832 ns       361266
InversionCount/236            1935 ns         1935 ns       367249
InversionCount/237            2219 ns         2219 ns       327190
InversionCount/238            1211 ns         1212 ns       577221
InversionCount/239            2031 ns         2031 ns       325093
InversionCount/240            2288 ns         2288 ns       309075
InversionCount/241            2118 ns         2118 ns       358826
InversionCount/242            2142 ns         2142 ns       359203
InversionCount/243            1930 ns         1930 ns       355383
InversionCount/244            1927 ns         1927 ns       351909
InversionCount/245            2238 ns         2238 ns       316338
InversionCount/246            2288 ns         2288 ns       310100
InversionCount/247            2265 ns         2265 ns       337018
InversionCount/248            2257 ns         2257 ns       326660
InversionCount/249            1913 ns         1913 ns       424429
InversionCount/250            1410 ns         1410 ns       489918
InversionCount/251            1797 ns         1797 ns       388551
InversionCount/252            2338 ns         2338 ns       302457
InversionCount/253            2361 ns         2361 ns       289283
InversionCount/254            2202 ns         2202 ns       308960
InversionCount/255            2268 ns         2268 ns       301792
InversionCount/256            1909 ns         1909 ns       373846
InversionCount/257            2625 ns         2625 ns       266496
InversionCount/258            2873 ns         2873 ns       255901
InversionCount/259            2743 ns         2743 ns       255788
InversionCount/260            2782 ns         2782 ns       249264
InversionCount/261            2754 ns         2754 ns       253132
InversionCount/262            2694 ns         2694 ns       263525
InversionCount/263            2698 ns         2698 ns       268928
InversionCount/264            2891 ns         2891 ns       259038
InversionCount/265            2798 ns         2798 ns       247982
InversionCount/266            2718 ns         2718 ns       250819
InversionCount/267            2745 ns         2745 ns       252768
InversionCount/268            2642 ns         2642 ns       266331
InversionCount/269            2559 ns         2559 ns       251481
InversionCount/270            2842 ns         2842 ns       248569
InversionCount/271            2704 ns         2704 ns       266099
InversionCount/272            2847 ns         2847 ns       237915
InversionCount/273            1897 ns         1897 ns       376500
InversionCount/274            2931 ns         2931 ns       246142
InversionCount/275            2789 ns         2789 ns       253040
InversionCount/276            1609 ns         1609 ns       429031
InversionCount/277            2829 ns         2829 ns       253450
InversionCount/278            2875 ns         2875 ns       251365
InversionCount/279            1850 ns         1850 ns       381538
InversionCount/280            2569 ns         2569 ns       274557
InversionCount/281            1646 ns         1646 ns       421517
InversionCount/282            2882 ns         2882 ns       249987
InversionCount/283            2921 ns         2921 ns       245050
InversionCount/284            2843 ns         2843 ns       249123
InversionCount/285            2987 ns         2987 ns       248152
InversionCount/286            1615 ns         1615 ns       431685
InversionCount/287            2985 ns         2985 ns       257932
InversionCount/288            3101 ns         3101 ns       242317
InversionCount/289            1984 ns         1985 ns       352508
InversionCount/290            3088 ns         3088 ns       242730
InversionCount/291            3049 ns         3049 ns       249203
InversionCount/292            1688 ns         1688 ns       414864
InversionCount/293            2886 ns         2886 ns       242813
InversionCount/294            3105 ns         3105 ns       239148
InversionCount/295            1960 ns         1960 ns       353257
InversionCount/296            2821 ns         2821 ns       261480
InversionCount/297            1747 ns         1747 ns       399364
InversionCount/298            3228 ns         3228 ns       218202
InversionCount/299            3104 ns         3104 ns       233089
InversionCount/300            3131 ns         3131 ns       242389
InversionCount/301            3074 ns         3074 ns       231158
InversionCount/302            1729 ns         1729 ns       405464
InversionCount/303            3067 ns         3067 ns       237579
InversionCount/304            2855 ns         2855 ns       244731
InversionCount/305            1801 ns         1801 ns       391957
InversionCount/306            3216 ns         3216 ns       216278
InversionCount/307            3148 ns         3148 ns       237865
InversionCount/308            3336 ns         3336 ns       211521
InversionCount/309            3124 ns         3124 ns       212434
InversionCount/310            1737 ns         1737 ns       399059
InversionCount/311            3147 ns         3147 ns       207085
InversionCount/312            3318 ns         3318 ns       216667
InversionCount/313            3399 ns         3399 ns       242309
